time_ms,ecg,ir,red,hr_ppg,spo2
clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
timestamp,ecg,ir,red,hr_ppg,spo2
1088,657,586,785,0,0
1128,1520,583,777,0,0
1188,253,563,754,0,0
1228,1501,557,745,0,0
1287,558,562,770,0,0
1327,1511,581,776,0,0
1387,523,600,774,0,0
1427,1269,581,750,0,0
1487,854,548,749,0,0
1526,982,560,760,0,0
1586,802,586,790,0,0
1626,1023,585,783,0,0
1686,1156,573,751,0,0
1726,665,568,744,0,0
1785,1401,555,766,0,0
1825,720,576,775,0,0
1885,1362,593,791,0,0
1925,295,580,762,0,0
1985,1487,561,747,0,0
2025,0,552,761,0,0
2084,1520,576,779,0,0
2124,16,586,794,0,0
2184,1524,590,761,0,0
2224,0,562,741,0,0
2283,1392,551,757,0,0
2323,0,570,791,0,0
2383,1424,596,785,0,0
2423,0,593,749,0,0
2483,1140,556,736,0,0
2523,0,557,762,0,0
2582,817,567,789,0,0
2622,0,589,793,0,0
2682,875,592,752,0,0
2722,0,561,747,0,0
2782,469,546,763,0,0
2821,0,570,778,0,0
2881,529,591,791,0,0
2921,0,590,765,0,0
2981,127,562,737,0,0
3021,0,550,753,0,0
3080,0,568,785,0,0
3120,0,591,792,0,0
3180,0,601,762,0,0
3220,0,571,746,0,0
3280,0,550,752,0,0
3319,0,565,768,0,0
3379,0,585,781,0,0
3419,0,588,787,0,0
3479,0,576,750,0,0
3519,0,562,741,0,0
3578,0,553,768,0,0
3618,0,567,788,0,0
3678,0,588,786,0,0
3718,0,591,747,0,0
3778,0,558,750,0,0
3818,0,563,755,0,0
3877,0,574,783,0,0
3917,0,583,792,0,0
3977,0,582,754,0,0
4017,35,563,739,0,0
4076,0,561,768,0,0
4116,7,573,786,0,0
4176,0,590,780,0,0
4216,267,589,755,0,0
4276,0,554,745,0,0
4316,594,561,763,0,0
4375,0,584,789,0,0
4415,560,586,797,0,0
4475,0,585,761,0,0
4515,887,559,746,0,0
4574,0,554,762,0,0
4614,855,568,788,0,0
4674,0,598,790,0,0
4714,1199,578,756,0,0
4774,0,558,749,0,0
4813,1421,564,757,0,0
4873,0,571,782,0,0
4913,1403,589,788,0,0
4973,0,580,750,0,0
5013,1501,554,745,0,0
5072,154,549,769,0,0
5112,1483,569,791,0,0
5172,123,595,780,0,0
5212,1523,582,757,0,0
5272,433,553,748,0,0
5312,1338,554,757,0,0
5371,762,585,780,0,0
5411,1358,590,784,0,0
5471,720,585,758,0,0
5511,1089,568,739,0,0
5570,1100,556,761,0,0
5610,1120,572,788,0,0
5670,1062,588,787,0,0
5710,784,586,758,0,0
5770,1325,561,739,0,0
5810,371,562,756,0,0
5869,1471,568,781,0,0
5909,422,590,795,0,0
5969,1461,588,752,0,0
6009,50,563,741,0,0
6069,1515,554,756,0,0
6108,0,569,784,0,0
6168,1509,587,788,0,0
6208,0,590,757,0,0
6268,1454,559,743,0,0
6308,0,550,755,0,0
6367,1162,563,778,0,0
6407,0,587,791,0,0
6467,1185,596,757,0,0
6507,0,561,744,0,0
6567,880,547,755,0,0
6606,0,564,780,0,0
6666,916,593,794,0,0
6706,0,590,759,0,0
6766,528,556,741,0,0
6806,0,551,745,0,0
6865,113,564,780,0,0
6905,0,581,791,0,0
6965,151,600,751,0,0
7005,0,569,745,0,0
7065,0,539,754,0,0
7104,0,561,785,0,0
7164,0,583,803,0,0
7204,0,590,761,0,0
7264,0,559,731,0,0
7304,0,560,755,0,0
7363,0,572,781,0,0
7403,0,577,790,0,0
7463,0,600,755,0,0
7503,0,562,745,0,0
7563,0,548,751,0,0
7602,0,570,775,0,0
7662,0,589,797,0,0
7702,0,592,776,0,0
7762,0,573,770,0,0
7802,0,606,853,0,0
7861,0,1079,1647,0,0
7901,0,2436,4128,0,0
7961,0,11137,16579,0,0
8001,90,22071,25332,0,0
8061,0,34823,37037,0,4
8100,467,50931,65708,0,0
8160,0,94733,87265,0,18
8200,432,102227,88416,0,24
8260,0,92493,87825,0,31
8300,848,86153,81940,0,30
8359,0,69504,70526,0,32
8399,785,67772,71742,0,32
8459,0,66104,70278,0,32
8499,1271,68503,73576,0,31
8559,0,77234,82856,0,29
8598,1601,88584,82390,0,34
8658,0,94777,82562,0,37
8698,1584,93638,85053,0,36
8758,0,92058,84558,0,37
8798,1776,94609,83070,0,37
8857,47,106173,89110,0,38
8897,1780,109181,89658,0,39
8957,28,108629,89786,0,39
8997,1837,109444,89658,857,39
9057,342,97630,84653,857,41
9096,1774,68237,56357,1124,38
9156,292,41490,42663,1124,40
9196,1789,43438,48947,1124,38
9256,723,59505,69295,1124,35
9296,1426,72022,78725,1124,35
9355,1193,84387,80152,1124,38
9395,1467,85249,80528,1124,38
9455,1134,95254,85063,1124,39
